review,scored,actual_adds,predicted_adds,correct_adds,add_fp,add_fn,add_precision,add_recall,add_f1,supported_add_candidates,supported_add_precision,supported_add_recall,add_envelope_coverage,actual_deletes,predicted_deletes,correct_deletes,delete_fp,delete_fn,delete_precision,delete_recall,delete_f1,supported_delete_candidates,supported_delete_precision,supported_delete_recall,delete_envelope_coverage,top_n_add_hits,top_n_add_hit_rate,top_n_delete_hits,top_n_delete_hit_rate,incumbents,incumbent_resolution_rate,incumbent_retention_accuracy,provisional_rows
2023-05,False,3,3,,,,,,,,,,,3,0,,,,,,,,,,,,,,,115,,,0
2023-08,True,8,7,5.0,2.0,3.0,0.7142857142857143,0.625,0.6666666666666666,12.0,0.5833333333333334,0.875,0.875,1,0,0.0,0.0,1.0,,0.0,,0.0,,0.0,0.0,5.0,0.625,0.0,0.0,114,1.0,1.0,0
2023-11,True,9,5,3.0,2.0,6.0,0.6,0.3333333333333333,0.42857142857142855,13.0,0.5384615384615384,0.7777777777777778,0.8888888888888888,0,0,0.0,0.0,0.0,,,,0.0,,,,6.0,0.6666666666666666,0.0,,122,1.0,1.0,2
2024-02,True,5,3,3.0,0.0,2.0,1.0,0.6,0.7499999999999999,15.0,0.3333333333333333,1.0,1.0,0,1,0.0,1.0,0.0,0.0,,,1.0,0.0,,,3.0,0.6,0.0,,131,1.0,0.9923664122137404,0
2024-05,True,13,5,4.0,1.0,9.0,0.8,0.3076923076923077,0.4444444444444444,19.0,0.631578947368421,0.9230769230769231,0.9230769230769231,3,2,1.0,1.0,2.0,0.5,0.3333333333333333,0.4,5.0,0.6,1.0,1.0,10.0,0.7692307692307693,1.0,0.3333333333333333,136,0.9779411764705882,0.9849624060150376,0
2024-08,True,7,3,3.0,0.0,4.0,1.0,0.42857142857142855,0.6,12.0,0.5833333333333334,1.0,1.0,1,0,0.0,0.0,1.0,,0.0,,1.0,1.0,1.0,1.0,6.0,0.8571428571428571,1.0,1.0,146,0.9931506849315068,1.0,0
2024-11,True,5,1,0.0,1.0,5.0,0.0,0.0,,8.0,0.5,0.8,0.8,0,0,0.0,0.0,0.0,,,,2.0,0.0,,,2.0,0.4,0.0,,151,0.9867549668874173,0.9867549668874173,0
2025-02,True,1,4,1.0,3.0,0.0,0.25,1.0,0.4,11.0,0.09090909090909091,1.0,1.0,1,1,0.0,1.0,1.0,0.0,0.0,,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,156,0.9487179487179487,0.9419354838709677,0
2025-05,True,2,1,0.0,1.0,2.0,0.0,0.0,,4.0,0.0,0.0,0.0,0,3,0.0,3.0,0.0,0.0,,,8.0,0.0,,,0.0,0.0,0.0,,156,0.967948717948718,0.9487179487179487,0
2025-08,True,4,3,2.0,1.0,2.0,0.6666666666666666,0.5,0.5714285714285715,10.0,0.2,0.5,0.5,2,2,2.0,0.0,0.0,1.0,1.0,1.0,8.0,0.25,1.0,1.0,2.0,0.5,2.0,1.0,158,0.9620253164556962,0.9615384615384616,0
2025-11,True,4,2,0.0,2.0,4.0,0.0,0.0,,6.0,0.3333333333333333,0.5,0.5,2,1,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,7.0,0.2857142857142857,1.0,1.0,0.0,0.0,1.0,0.5,160,0.9625,0.9683544303797469,0
2026-02,True,2,1,0.0,1.0,2.0,0.0,0.0,,4.0,0.25,0.5,0.5,1,3,0.0,3.0,1.0,0.0,0.0,,10.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,163,0.9570552147239264,0.9382716049382716,0
2026-05,True,5,2,2.0,0.0,3.0,1.0,0.4,0.5714285714285715,7.0,0.7142857142857143,1.0,1.0,4,4,3.0,1.0,1.0,0.75,0.75,0.75,14.0,0.21428571428571427,0.75,0.75,3.0,0.6,3.0,0.75,164,0.9390243902439024,0.93125,0
POOLED,True,65,37,23.0,14.0,42.0,0.6216216216216216,0.35384615384615387,0.4509803921568628,121.0,0.4380165289256198,0.8153846153846154,0.8307692307692308,15,17,7.0,10.0,8.0,0.4117647058823529,0.4666666666666667,0.43749999999999994,65.0,0.16923076923076924,0.7333333333333333,0.7333333333333333,,,,,1757,0.9726807057484348,0.9690011481056258,2
