review,final_add_predicted,final_add_actual,final_add_hits,final_add_precision,final_add_recall,final_add_f1,base_add_predicted,base_add_actual,base_add_hits,base_add_precision,base_add_recall,base_add_f1,final_del_predicted,final_del_actual,final_del_hits,final_del_precision,final_del_recall,final_del_f1,base_del_predicted,base_del_actual,base_del_hits,base_del_precision,base_del_recall,base_del_f1
2023-08,7,8,5,0.7142857142857143,0.625,0.6666666666666666,7,8,5,0.7142857142857143,0.625,0.6666666666666666,0,1,0,,0.0,,0,1,0,,0.0,
2023-11,8,9,5,0.625,0.5555555555555556,0.5882352941176471,5,9,3,0.6,0.3333333333333333,0.42857142857142855,0,0,0,,,,0,0,0,,,
2024-02,7,5,4,0.5714285714285714,0.8,0.6666666666666666,3,5,3,1.0,0.6,0.7499999999999999,1,0,0,0.0,,,1,0,0,0.0,,
2024-05,12,13,10,0.8333333333333334,0.7692307692307693,0.8,5,13,4,0.8,0.3076923076923077,0.4444444444444444,2,3,1,0.5,0.3333333333333333,0.4,2,3,1,0.5,0.3333333333333333,0.4
2024-08,7,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,7,3,1.0,0.42857142857142855,0.6,0,1,0,,0.0,,0,1,0,,0.0,
2024-11,2,5,1,0.5,0.2,0.28571428571428575,1,5,0,0.0,0.0,0.0,0,0,0,,,,0,0,0,,,
2025-02,6,1,1,0.16666666666666666,1.0,0.2857142857142857,4,1,1,0.25,1.0,0.4,1,1,0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0
2025-05,1,2,0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,3,0,0,0.0,,,3,0,0,0.0,,
2025-08,5,4,2,0.4,0.5,0.4444444444444445,3,4,2,0.6666666666666666,0.5,0.5714285714285715,2,2,2,1.0,1.0,1.0,2,2,2,1.0,1.0,1.0
2025-11,3,4,1,0.3333333333333333,0.25,0.28571428571428575,2,4,0,0.0,0.0,0.0,1,2,1,1.0,0.5,0.6666666666666666,1,2,1,1.0,0.5,0.6666666666666666
2026-02,3,2,1,0.3333333333333333,0.5,0.4,1,2,0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0
2026-05,4,5,3,0.75,0.6,0.6666666666666665,2,5,2,1.0,0.4,0.5714285714285715,4,4,3,0.75,0.75,0.75,4,4,3,0.75,0.75,0.75
