MCX,,,,,,,,,,,,,,,,,,,,
Summary,Jun 2026,Mar 2026,Dec 2025,Sep 2025,Jun 2025,Mar 2025,Dec 2024,Sep 2024,Jun 2024,Mar 2024,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021,Sep 2021
Promoter,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
FII,29.90%,26.10%,20.60%,19%,21.70%,21.80%,23.10%,22.10%,20.70%,23.20%,26.60%,25.30%,,,,,,,,
DII,50.80%,54.40%,59.20%,60.50%,59.10%,58.10%,56.30%,57.50%,57.30%,56.90%,53.00%,56.40%,,,,,,,,
Public,19.20%,19.40%,20.00%,20.30%,19.00%,19.90%,20.40%,20.30%,21.90%,19.70%,20.20%,18.10%,,,,,,,,
Others,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ABBOTINDIA,,,,,,,,,,,,,,,,,,,,
Summary,Jun 2026,Mar 2026,Dec 2025,Sep 2025,Jun 2025,Mar 2025,Dec 2024,Sep 2024,Jun 2024,Mar 2024,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021,Sep 2021
Promoter,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FII,0.40%,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,,,,,,,,
DII,8.80%,8.90%,9%,9.10%,9.20%,8.90%,9.00%,9%,8.80%,8.90%,8.70%,8.80%,,,,,,,,
Public,15.90%,15.80%,15.80%,15.70%,15.70%,15.90%,15.90%,15.90%,16.00%,15.90%,16.10%,16.00%,,,,,,,,
Others,0.00%,0%,0%,0%,0%,0%,0%,0%,0.00%,0%,0.00%,0%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BAYERCROP,,,,,,,,,,,,,,,,,,,,
Summary,Jun 2026,Mar 2026,Dec 2025,Sep 2025,Jun 2025,Mar 2025,Dec 2024,Sep 2024,Jun 2024,Mar 2024,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021,Sep 2021
Promoter,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%
FII,4.00%,3.90%,3.80%,3.80%,3.60%,3.50%,3.40%,3.30%,3.60%,3.60%,3.50%,3.30%,,,,,,,,
DII,11.60%,11.90%,11.50%,11.20%,11.40%,11.60%,11.70%,12.10%,12.50%,12.80%,12.70%,13.20%,,,,,,,,
Public,13.00%,12.80%,13.30%,13.60%,13.60%,13.50%,13.50%,13.20%,12.50%,12.20%,12.30%,12.10%,,,,,,,,
Others,0%,0%,0%,0%,0%,0%,0.00%,0.00%,0%,0%,0.00%,0%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
GOODYEAR,,,,,,,,,,,,,,,,,,,,
Summary,Jun 2026,Mar 2026,Dec 2025,Sep 2025,Jun 2025,Mar 2025,Dec 2024,Sep 2024,Jun 2024,Mar 2024,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021,Sep 2021
Promoter,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%
FII,0.30%,0.30%,0.30%,0.40%,0.60%,0.60%,0.70%,0.70%,0.70%,0.80%,0.70%,0.70%,,,,,,,,
DII,7.80%,8.00%,8.00%,8.00%,8.10%,8.10%,8.20%,8.20%,8.20%,8.20%,8.20%,8.20%,,,,,,,,
Public,18.00%,17.70%,17.70%,17.60%,17.40%,17.30%,17.20%,17.10%,17.10%,17.10%,17.10%,17.10%,,,,,,,,
Others,0%,0%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,,,,,
