RED FLAG LIST,,,,,
(Dissemination Date: 16-Apr-2026 ),,,,,
(A red flag shall be activated in respect of listed Indian companies whenever the foreign investment is within 3% or less than 3% of the aggregate NRI/FPI limits or the sectoral cap.),,,,,
,,,,,
Overall / Sectoral Limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
,,,,,,,,,
,,,,,,,,,
Aggregate FPI Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
,,,,,,,,,
NIL,,,,,,,,
,,,,,,,,,
Aggregate NRI (repatriable) Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
1,ALL E TECHNOLOGIES LIMITED,INE0M2X01012,ALL E TECHNOLOGIES LIMITED EQ,Equity,8.05,10,393417,07-Aug-2025,NSE
2,AVALON TECHNOLOGIES LIMITED,INE0LCL01028,AVALON TECHNOLOGIES LIMITED EQ NEW FV Rs.2/-,Equity,8.31,10,1134569,25-Apr-2023,NSE/BSE/MSEI
3,DYNAMATIC TECHNOLOGIES LIMITED,INE221B01012,DYNAMATIC TECHNOLOGIES LIMITED EQ,Equity,0.46,1,36681,06-Mar-2019,NSE/BSE
4,HEXA TRADEX LIMITED,INE750M01017,HEXA TRADEX LIMITED EQ,Equity,9.69,10,168677,15-Sep-2025,NSE/BSE
5,INTENSE TECHNOLOGIES LIMITED,INE781A01025,INTENSE TECHNOLOGIES LIMITED EQ NEW FV RS. 2/-,Equity,3.73,5,308767,03-Nov-2025,NSE/BSE
6,K2 INFRAGEN LIMITED,INE0DEZ01013,K2 INFRAGEN LIMITED EQ,Equity,3.16,5,232092,17-Mar-2026,NSE
7,MAGELLANIC CLOUD LIMITED,INE613C01026,MAGELLANIC CLOUD LIMITED EQ NEW FV RS.2/-,Equity,8.05,10,11488893,08-Apr-2026,BSE
8,QUICKTOUCH TECHNOLOGIES LIMITED,INE0K4D01020,QUICKTOUCH TECHNOLOGIES LIMITED EQ NEW FV RS.10/-,Equity,8.05,10,249599,09-Feb-2026,NSE
9,SALASAR EXTERIORS AND CONTOUR LIMITED,INE00Y701026,SALASAR EXTERIORS AND CONTOUR LIMITED EQ NEW FV RE.1/-,Equity,7.88,10,2182335,18-Oct-2022,NSE
10,SUMIT WOODS LIMITED,INE748Z01013,SUMIT WOODS LIMITED EQ,Equity,8.02,10,896887,31-Oct-2024,NSE
11,THOMAS SCOTT (INDIA) LIMITED,INE480M01011,THOMAS SCOTT (INDIA) LIMITED EQ,Equity,8.3,10,253690,03-Oct-2025,NSE/BSE
,,,,,,,,,
Notes :,,,,,,,,
,,,,,,,,,
,,,,,
