ticker,company_name,base_as_of,membership,reconstruction
ABB,ABB INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ACC,ACC LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ADANIENT,ADANI ENTERPRISES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ADANIGREEN,ADANI GREEN ENERGY LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC Z,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ADANIPOWER,ADANI POWER LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ADANITRANS,ADANI TRANSMISSION LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
AMBUJACEM,AMBUJA CEMENTS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ASIANPAINT,ASIAN PAINTS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ATGL,ADANI TOTAL GAS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
AUBANK,AU SMALL FINANCE BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
AUROPHARMA,AUROBINDO PHARMA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
AXISBANK,AXIS BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BAJAJ-AUTO,BAJAJ AUTO LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BAJAJFINSV,BAJAJ FINSERV LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BAJAJHLDNG,BAJAJ HOLDINGS AND INVESTMENT LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BAJFINANCE,BAJAJ FINANCE LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BALKRISIND,BALKRISHNA INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BANDHANBNK,BANDHAN BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BANKBARODA,BANK OF BARODA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
BEL,BHARAT ELECTRONICS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
