review,action,msci_name
2023-05,ADD,HINDUSTAN AERONAUTICS
2023-05,ADD,MAX HEALTHCARE INSTITUTE
2023-05,ADD,SONA BLW PRECISION
2023-05,DELETE,ADANI TOTAL GAS
2023-05,DELETE,ADANI TRANSMISSION
2023-05,DELETE,INDUS TOWERS
2023-08,ADD,ASHOK LEYLAND
2023-08,ADD,ASTRAL
2023-08,ADD,CUMMINS INDIA KIRLOSKAR
2023-08,ADD,HDFC ASSET MANAGEMENT
2023-08,ADD,IDFC FIRST BANK
2023-08,ADD,POWER FINANCE CORP
2023-08,ADD,REC
2023-08,ADD,SUPREME INDUSTRIES
2023-08,DELETE,ACC
2023-11,ADD,APL APOLLO TUBES
2023-11,ADD,INDUSIND BANK
2023-11,ADD,MACROTECH DEVELOPERS
2023-11,ADD,ONE 97 COMMUNICATIONS
2023-11,ADD,PERSISTENT SYSTEMS
2023-11,ADD,POLYCAB INDIA
2023-11,ADD,SUZLON ENERGY LIMITED
2023-11,ADD,TATA COMMUNICATIONS
2023-11,ADD,TATA MOTORS A
2024-02,ADD,BHARAT HEAVY ELECTRICALS
2024-02,ADD,GMR AIRPORTS INFRA
2024-02,ADD,NMDC
2024-02,ADD,PUNJAB NATL BANK
2024-02,ADD,UNION BANK OF INDIA
2024-05,ADD,BOSCH
2024-05,ADD,CANARA BANK
2024-05,ADD,INDUS TOWERS
2024-05,ADD,JINDAL STAINLESS
2024-05,ADD,JSW ENERGY
2024-05,ADD,MANKIND PHARMA
2024-05,ADD,NHPC
2024-05,ADD,PB FINTECH
2024-05,ADD,PHOENIX MILLS
2024-05,ADD,SOLAR INDUSTRIES INDIA
2024-05,ADD,SUNDARAM FINANCE
2024-05,ADD,THERMAX
2024-05,ADD,TORRENT POWER
2024-05,DELETE,BERGER PAINTS INDIA
2024-05,DELETE,INDRAPRASTHA GAS
2024-05,DELETE,ONE 97 COMMUNICATIONS
2024-08,ADD,DIXON TECHNOLOGIES INDIA
2024-08,ADD,OIL INDIA
2024-08,ADD,ORACLE FINL SVCS SOFTW
2024-08,ADD,PRESTIGE ESTATES PROJECT
2024-08,ADD,RAIL VIKAS NIGAM
2024-08,ADD,VODAFONE IDEA
2024-08,ADD,ZYDUS LIFESCIENCES
2024-08,DELETE,BANDHAN BANK
2024-11,ADD,ALKEM LABORATORIES
2024-11,ADD,BOMBAY STOCK EXCHANGE
2024-11,ADD,KALYAN JEWELLERS INDIA
2024-11,ADD,OBEROI REALTY
2024-11,ADD,VOLTAS
2025-02,ADD,HYUNDAI MOTOR INDIA
2025-02,DELETE,ADANI GREEN ENERGY
2025-05,ADD,COROMANDEL INTERNATIONAL
2025-05,ADD,FSN ECOMMERCE VENTURES
2025-08,ADD,HITACHI ENERGY INDIA
2025-08,ADD,SWIGGY
2025-08,ADD,VISHAL MEGA MART
2025-08,ADD,WAAREE ENERGIES
2025-08,DELETE,SONA BLW PRECISION
2025-08,DELETE,THERMAX
2025-11,ADD,FORTIS HEALTHCARE
2025-11,ADD,GE VERNOVA T&D INDIA
2025-11,ADD,ONE 97 COMMUNICATIONS
2025-11,ADD,SIEMENS ENERGY INDIA
2025-11,DELETE,CONTAINER CORP OF INDIA
2025-11,DELETE,TATA ELXSI
2026-02,ADD,ADITYA BIRLA CAPITAL
2026-02,ADD,L AND T FINANCE
2026-02,DELETE,INDIAN RAIL CATER & TOUR
2026-05,ADD,ADANI ENERGY SOLUTIONS
2026-05,ADD,FEDERAL BANK
2026-05,ADD,INDIAN BANK
2026-05,ADD,MULTI CMDTY EXCH INDIA
2026-05,ADD,NATIONAL ALUMINIUM CO
2026-05,DELETE,HYUNDAI MOTOR INDIA
2026-05,DELETE,JUBILANT FOODWORKS
2026-05,DELETE,KALYAN JEWELLERS INDIA
2026-05,DELETE,RAIL VIKAS NIGAM
