security_id,nse_symbol,delisted_date,price_rows,first_price,last_price
SEC002334,SIMPLEX,2021-11-26,0,,
SEC002335,CKPPRODUCT,2021-11-26,0,,
SEC002336,CASTEXTECH,2021-12-07,0,,
SEC002337,MMNL,2021-12-21,0,,
SEC002338,SYNCOM ,2022-01-14,0,,
SEC002339,SMPL,2022-01-14,0,,
SEC002340,PATSPINLTD,2022-01-19,0,,
SEC002341,GTNTEX,2022-01-19,0,,
SEC002342,KWALITY,2022-02-28,0,,
SEC002343,PRADIP,2022-03-16,0,,
SEC002344,PUSHPREALM,2022-03-23,0,,
SEC002345,STINDIA,2022-03-23,0,,
SEC002346,VIMALOIL,2022-03-23,0,,
SEC002347,PAEL,2022-04-18,0,,
SEC002348,ROHITFERRO,2022-05-04,0,,
SEC002349,CHROMATIC,2022-07-18,0,,
SEC002350,PBAINFRA,2022-09-01,0,,
SEC002351,RAMSARUP,2022-09-29,0,,
SEC002352,ANSALHSG,2022-10-19,0,,
SEC002353,TCIDEVELOP,2022-11-18,0,,
SEC002354,UTTAMSTL,2022-12-08,0,,
SEC002355,AUSTRAL,2022-12-15,493,2021-01-04,2022-12-15
SEC002356,BHAGYAPROP,2022-12-19,0,,
SEC002357,SUBCAPCITY,2023-01-12,0,,
SEC002358,COX&KINGS,2023-02-23,0,,
SEC002359,STERLINBIO,2023-03-03,0,,
SEC002360,SINTEX,2023-03-10,0,,
SEC002361,CKPLEISURE,2023-03-22,0,,
SEC002362,POWERFUL,2023-03-22,0,,
SEC002363,DFMFOODS,2023-04-05,0,,
SEC002364,PSL,2023-04-21,0,,
SEC002365,EMCO,2023-04-28,0,,
SEC002366,AUTORIDFIN,2023-05-23,0,,
SEC002367,NATNLSTEEL,2023-06-27,0,,
SEC002368,MRO,2023-08-08,0,,
SEC002369,OISL,2023-08-18,0,,
SEC002370,AUTOLITIND ,2023-08-29,0,,
SEC002371,VIRESCENT,2023-09-07,0,,
SEC002372,THIRUSUGAR,2023-11-20,0,,
SEC002373,SREINFRA,2023-12-14,0,,
SEC002374,SREIBNPNCD,2023-12-14,0,,
SEC002375,JMTAUTOLTD,2023-12-18,0,,
SEC002376,SHARONBIO,2024-02-20,774,2021-01-01,2024-02-16
SEC002377,MOHOTAIND,2024-03-28,0,,
SEC002378,SONISOYA,2024-07-05,879,2021-01-04,2024-07-03
SEC002379,LGBFORGE,2024-08-06,0,,
SEC002380,BIRLATYRE,2024-08-08,886,2021-01-01,2024-08-06
SEC002381,SBIHOMEFIN,2024-08-12,0,,
SEC002382,CELESTIAL,2024-10-17,935,2021-01-01,2024-10-16
SEC002383,JIKIND,2024-10-17,935,2021-01-01,2024-10-16
SEC002384,JINDCOT,2024-11-11,952,2021-01-01,2024-11-08
SEC002385,RELCAPITAL,2025-02-13,1016,2021-01-01,2025-02-11
SEC002386,JPINFRATEC,2025-02-21,1023,2021-01-01,2025-02-19
SEC002387,MVL,2025-02-28,1028,2021-01-01,2025-02-27
SEC002388,METALFORGE,2025-03-26,1044,2021-01-01,2025-03-24
SEC002389,SPTL,2025-05-21,1080,2021-01-01,2025-05-20
SEC002390,SATHAISPAT,2025-07-01,1108,2021-01-01,2025-06-27
SEC002391,OCCL,2025-07-15,0,,
SEC002392,SSINFRA,2025-07-25,1126,2021-01-01,2025-07-23
SEC002393,PENTAGOLD,2025-07-25,1126,2021-01-01,2025-07-23
SEC002394,MANPASAND,2025-08-05,1134,2021-01-01,2025-08-04
SEC002395,HINDNATGLS,2025-09-22,0,,
SEC002396,HINDMOTORS,2025-10-10,0,,
SEC002397,BHALCHANDR,2025-11-03,0,,
SEC002398,HERCULES,2026-01-09,1337,2021-01-01,2026-05-29
SEC002399,ROLTA,2026-01-19,0,,
SEC002400,FEDDERELEC,2026-03-02,0,,
SEC002401,FSC,2026-03-24,0,,
SEC002402,VISESHINFO,2026-04-06,0,,
SEC002403,CLOUD,2026-04-22,1,2026-04-21,2026-04-21
SEC002404,JPASSOCIAT,2026-06-18,0,,
