security_id,nse_symbol,reason
SEC000004,3BBLACKBIO,NO_USABLE_SHARES
SEC000022,ABANSENT,NO_USABLE_SHARES
SEC000024,ABBOTINDIA,NO_USABLE_SHARES
SEC000031,ABMKNO,NO_USABLE_SHARES
SEC000038,ACGL,NO_USABLE_SHARES
SEC000042,ACSTECH,NO_USABLE_SHARES
SEC000049,ADDIND,NO_USABLE_SHARES
SEC000060,ADVIKCA,NO_USABLE_SHARES
SEC000094,AKCAPIT,NO_USABLE_SHARES
SEC000102,ALFREDHE,NO_USABLE_SHARES
SEC000115,ALUFLUOR,NO_USABLE_SHARES
SEC000117,AMAL,NO_USABLE_SHARES
SEC000118,AMARJOTHI,NO_USABLE_SHARES
SEC000119,AMBALALSA,NO_USABLE_SHARES
SEC000132,ANDREWYU,NO_USABLE_SHARES
SEC000137,ANSALBU,NO_USABLE_SHARES
SEC000155,APOORVA,NO_USABLE_SHARES
SEC000160,ARCL,NO_USABLE_SHARES
SEC000180,ARYAMAN,NO_USABLE_SHARES
SEC000194,ASIANTNE,NO_USABLE_SHARES
SEC000197,ASSAMENT,NO_USABLE_SHARES
SEC000198,ASTAR,NO_USABLE_SHARES
SEC000220,AUSTENG,NO_USABLE_SHARES
SEC000224,AVANCE,NO_USABLE_SHARES
SEC000237,AXTEL,NO_USABLE_SHARES
SEC000241,AZADIND,NO_USABLE_SHARES
SEC000253,BAJAJST,NO_USABLE_SHARES
SEC000278,BATLIBOI,NO_USABLE_SHARES
SEC000279,BAYERCROP,NO_USABLE_SHARES
SEC000292,BEEKAY,NO_USABLE_SHARES
SEC000297,BENARAS,NO_USABLE_SHARES
SEC000298,BENGALASM,NO_USABLE_SHARES
SEC000319,BIMETAL,NO_USABLE_SHARES
SEC000325,BIRLAPREC,NO_USABLE_SHARES
SEC000330,BLIL,NO_USABLE_SHARES
SEC000335,BLUECLOUDS,NO_USABLE_SHARES
SEC000342,BNAGROCHEM,NO_USABLE_SHARES
SEC000354,BPLPHARMA,NO_USABLE_SHARES
SEC000355,BRAHMINFRA,NO_USABLE_SHARES
SEC000358,BRIGHTBR,NO_USABLE_SHARES
